노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,94.7%,39000,1,39000,1,0,0,0,2023-03-10,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,119000,2,119000,2,0,0,0,2023-03-10,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-10,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-10,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,28.6%,39000,1,39000,1,0,0,0,2023-03-11,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,119000,2,119000,2,0,0,0,2023-03-11,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-11,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-11,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,71.4%,0,0,0,0,0,0,0,2023-03-12,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,238000,4,238000,4,0,0,0,2023-03-12,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-12,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-12,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-12,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-03-13,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,93.8%,119000,2,119000,2,0,0,0,2023-03-13,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-13,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,10.0%,0,0,0,0,0,0,0,2023-03-13,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,61.5%,0,0,0,0,0,0,0,2023-03-14,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,43.4%,-59500,-1,0,0,59500,1,0,2023-03-14,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.1%,0,0,0,0,0,0,0,2023-03-14,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-03-14,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,92.9%,78000,2,78000,2,0,0,0,2023-03-15,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,61.2%,119000,2,119000,2,0,0,0,2023-03-15,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,60.6%,1946000,14,2085000,15,139000,1,0,2023-03-15,A00350733
